trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
1,2011-03-03 05:00:00+00:00,买入,1.63,612745,999999.82,0.18,,,,
1,2011-03-17 04:00:00+00:00,卖出,1.55,612745,949346.03,949346.21,-50653.79,-5.07,-50653.79,-5.07
2,2011-04-01 04:00:00+00:00,买入,1.83,518768,949345.46,0.75,,,,
2,2011-06-17 04:00:00+00:00,卖出,1.79,518768,929286.22,929286.97,-20059.25,-2.11,-70713.04,-7.07
3,2011-07-01 04:00:00+00:00,买入,1.94,479508,929286.49,0.48,,,,
3,2011-07-18 04:00:00+00:00,卖出,1.82,479508,873983.41,873983.89,-55303.08,-5.95,-126016.12,-12.6
4,2011-07-22 04:00:00+00:00,买入,1.91,456786,873983.75,0.14,,,,
4,2011-08-01 04:00:00+00:00,卖出,1.91,456786,873070.14,873070.28,-913.61,-0.1,-126929.73,-12.69
5,2011-09-19 04:00:00+00:00,买入,1.66,524892,873070.22,0.06,,,,
5,2011-10-05 04:00:00+00:00,卖出,1.6,524892,840876.98,840877.04,-32193.23,-3.69,-159122.96,-15.91
6,2011-10-07 04:00:00+00:00,买入,1.8,467500,840876.8,0.24,,,,
6,2011-12-14 05:00:00+00:00,卖出,1.97,467500,919416.85,919417.09,78540.05,9.34,-80582.91,-8.06
7,2012-01-30 05:00:00+00:00,买入,1.97,467658,919415.61,1.48,,,,
7,2012-04-11 04:00:00+00:00,卖出,2.22,467658,1036330.17,1036331.65,116914.56,12.72,36331.65,3.63
8,2012-06-19 04:00:00+00:00,买入,2.13,485476,1036329.56,2.09,,,,
8,2012-07-25 04:00:00+00:00,卖出,1.99,485476,968362.98,968365.07,-67966.58,-6.56,-31634.93,-3.16
9,2012-09-18 04:00:00+00:00,买入,2.13,455629,968363.38,1.69,,,,
9,2012-09-28 04:00:00+00:00,卖出,1.92,455629,872681.27,872682.96,-95682.11,-9.88,-127317.04,-12.73
10,2012-10-05 04:00:00+00:00,买入,1.98,440748,872681.05,1.92,,,,
10,2012-10-10 04:00:00+00:00,卖出,1.89,440748,834189.22,834191.13,-38491.83,-4.41,-165808.87,-16.58
11,2012-11-06 05:00:00+00:00,买入,2.04,408783,834190.0,1.13,,,,
11,2013-01-11 05:00:00+00:00,卖出,2.27,408783,927664.71,927665.84,93474.7,11.21,-72334.17,-7.23
