trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
0,2011-01-03 05:00:00+00:00,买入AZO(初始),268.4,372,100000.0,0.0,,,,
1,2011-03-04 05:00:00+00:00,卖出AZO,265.42,376,0.0,-,-1110.28,-1.11,-1110.28,-1.11
1,2011-03-04 05:00:00+00:00,买入TSLA,1.66,59452,98889.72,0.0,,,,
2,2011-03-17 04:00:00+00:00,卖出TSLA,1.52,0,0.0,90407.83,-8481.89,-8.58,-9592.17,-9.59
2,2011-03-17 04:00:00+00:00,买入AZO,261.95,345,90407.83,-,,,,
3,2011-04-01 04:00:00+00:00,卖出AZO,274.67,329,0.0,-,4390.1,4.86,-5202.07,-5.2
3,2011-04-01 04:00:00+00:00,买入TSLA,1.78,53337,94797.94,0.0,,,,
4,2011-06-17 04:00:00+00:00,卖出TSLA,1.77,0,0.0,94229.04,-568.9,-0.6,-5770.97,-5.77
4,2011-06-17 04:00:00+00:00,买入AZO,291.71,323,94229.04,-,,,,
5,2011-07-01 04:00:00+00:00,卖出AZO,297.62,316,0.0,-,1909.07,2.03,-3861.9,-3.86
5,2011-07-01 04:00:00+00:00,买入TSLA,1.93,49692,96138.11,0.0,,,,
6,2011-07-18 04:00:00+00:00,卖出TSLA,1.82,0,0.0,90208.12,-5929.98,-6.17,-9791.88,-9.79
6,2011-07-18 04:00:00+00:00,买入AZO,295.36,305,90208.12,-,,,,
7,2011-07-22 04:00:00+00:00,卖出AZO,295.85,304,0.0,-,149.66,0.17,-9642.22,-9.64
7,2011-07-22 04:00:00+00:00,买入TSLA,1.95,46274,90357.79,0.0,,,,
8,2011-08-01 04:00:00+00:00,卖出TSLA,1.92,0,0.0,88753.6,-1604.18,-1.78,-11246.4,-11.25
8,2011-08-01 04:00:00+00:00,买入AZO,282.25,314,88753.6,-,,,,
9,2011-09-19 04:00:00+00:00,卖出AZO,331.95,267,0.0,-,15628.18,17.61,4381.78,4.38
9,2011-09-19 04:00:00+00:00,买入TSLA,1.72,60757,104381.79,0.0,,,,
10,2011-10-05 04:00:00+00:00,卖出TSLA,1.69,0,0.0,102761.56,-1620.23,-1.55,2761.55,2.76
10,2011-10-05 04:00:00+00:00,买入AZO,317.42,323,102761.56,-,,,,
11,2011-10-07 04:00:00+00:00,卖出AZO,324.02,317,0.0,-,2136.68,2.08,4898.23,4.9
11,2011-10-07 04:00:00+00:00,买入TSLA,1.8,58298,104898.24,0.0,,,,
12,2011-12-14 05:00:00+00:00,卖出TSLA,1.9,0,0.0,110883.56,5985.32,5.71,10883.55,10.88
12,2011-12-14 05:00:00+00:00,买入AZO,324.32,341,110883.56,-,,,,
13,2012-01-30 05:00:00+00:00,卖出AZO,347.67,318,0.0,-,7983.26,7.2,18866.81,18.87
13,2012-01-30 05:00:00+00:00,买入TSLA,1.97,60297,118866.82,0.0,,,,
14,2012-04-11 04:00:00+00:00,卖出TSLA,2.21,0,0.0,133016.7,14149.88,11.9,33016.69,33.02
14,2012-04-11 04:00:00+00:00,买入AZO,377.05,352,133016.7,-,,,,
15,2012-06-19 04:00:00+00:00,卖出AZO,387.91,342,0.0,-,3831.23,2.88,36847.92,36.85
15,2012-06-19 04:00:00+00:00,买入TSLA,2.14,63967,136847.93,0.0,,,,
16,2012-07-25 04:00:00+00:00,卖出TSLA,1.93,0,0.0,123457.4,-13390.53,-9.78,23457.39,23.46
16,2012-07-25 04:00:00+00:00,买入AZO,378.39,326,123457.4,-,,,,
17,2012-09-18 04:00:00+00:00,卖出AZO,357.84,345,0.0,-,-6704.86,-5.43,16752.53,16.75
17,2012-09-18 04:00:00+00:00,买入TSLA,2.09,55880,116752.54,0.0,,,,
18,2012-09-28 04:00:00+00:00,卖出TSLA,1.95,0,0.0,109078.33,-7674.21,-6.57,9078.32,9.08
18,2012-09-28 04:00:00+00:00,买入AZO,369.67,295,109078.33,-,,,,
19,2012-10-16 04:00:00+00:00,卖出AZO,370.69,294,0.0,-,300.97,0.28,9379.29,9.38
19,2012-10-16 04:00:00+00:00,买入TSLA,1.87,58470,109379.3,0.0,,,,
20,2013-01-11 05:00:00+00:00,卖出TSLA,2.19,0,0.0,128284.82,18905.52,17.28,28284.81,28.28
20,2013-01-11 05:00:00+00:00,买入AZO,346.23,370,128284.82,-,,,,
21,2013-01-23 05:00:00+00:00,卖出AZO,356.53,359,0.0,-,3816.34,2.97,32101.15,32.1
21,2013-01-23 05:00:00+00:00,买入TSLA,2.4,55042,132101.16,0.0,,,,
22,2013-02-26 05:00:00+00:00,卖出TSLA,2.3,0,0.0,126340.06,-5761.11,-4.36,26340.04,26.34
22,2013-02-26 05:00:00+00:00,买入AZO,376.15,335,126340.06,-,,,,
23,2013-03-11 04:00:00+00:00,卖出AZO,388.33,325,0.0,-,4090.98,3.24,30431.02,30.43
23,2013-03-11 04:00:00+00:00,买入TSLA,2.61,50037,130431.03,0.0,,,,
24,2013-03-19 04:00:00+00:00,卖出TSLA,2.34,0,0.0,117020.98,-13410.05,-10.28,17020.97,17.02
24,2013-03-19 04:00:00+00:00,买入AZO,390.41,299,117020.98,-,,,,
25,2013-03-28 04:00:00+00:00,卖出AZO,396.77,294,0.0,-,1906.33,1.63,18927.3,18.93
25,2013-03-28 04:00:00+00:00,买入TSLA,2.53,47081,118927.32,0.0,,,,
26,2013-10-15 04:00:00+00:00,卖出TSLA,12.26,0,0.0,577342.06,458414.75,385.46,477342.05,477.34
26,2013-10-15 04:00:00+00:00,买入AZO,420.23,1373,577342.06,-,,,,
27,2013-12-12 05:00:00+00:00,卖出AZO,465.9,1239,0.0,-,62744.69,10.87,540086.74,540.09
27,2013-12-12 05:00:00+00:00,买入TSLA,9.83,65106,640086.76,0.0,,,,
28,2014-03-26 04:00:00+00:00,卖出TSLA,14.2,0,0.0,924343.11,284256.35,44.41,824343.09,824.34
28,2014-03-26 04:00:00+00:00,买入AZO,522.75,1768,924343.11,-,,,,
29,2014-05-13 04:00:00+00:00,卖出AZO,533.11,1733,0.0,-,18318.85,1.98,842661.94,842.66
29,2014-05-13 04:00:00+00:00,买入TSLA,12.68,74358,942661.96,0.0,,,,
30,2014-07-14 04:00:00+00:00,卖出TSLA,15.11,0,0.0,1123798.2,181136.24,19.22,1023798.18,1023.8
30,2014-07-14 04:00:00+00:00,买入AZO,533.66,2105,1123798.2,-,,,,
31,2014-08-04 04:00:00+00:00,卖出AZO,519.49,2163,0.0,-,-29839.6,-2.66,993958.58,993.96
31,2014-08-04 04:00:00+00:00,买入TSLA,15.9,68796,1093958.6,0.0,,,,
32,2014-09-19 04:00:00+00:00,卖出TSLA,17.29,0,0.0,1189356.67,95398.08,8.72,1089356.66,1089.36
32,2014-09-19 04:00:00+00:00,买入AZO,526.44,2259,1189356.67,-,,,,
33,2014-11-12 05:00:00+00:00,卖出AZO,568.8,2090,0.0,-,95701.56,8.05,1185058.22,1185.06
33,2014-11-12 05:00:00+00:00,买入TSLA,16.61,77382,1285058.24,0.0,,,,
34,2014-12-03 05:00:00+00:00,卖出TSLA,15.29,0,0.0,1182913.93,-102144.31,-7.95,1082913.91,1082.91
34,2014-12-03 05:00:00+00:00,买入AZO,590.55,2003,1182913.93,-,,,,
35,2015-02-05 05:00:00+00:00,卖出AZO,614.88,1923,0.0,-,48734.77,4.12,1131648.68,1131.65
35,2015-02-05 05:00:00+00:00,买入TSLA,14.73,83599,1231648.7,0.0,,,,
36,2015-02-19 05:00:00+00:00,卖出TSLA,14.11,0,0.0,1179928.26,-51720.44,-4.2,1079928.24,1079.93
36,2015-02-19 05:00:00+00:00,买入AZO,618.34,1908,1179928.26,-,,,,
37,2015-03-04 05:00:00+00:00,卖出AZO,652.48,1808,0.0,-,65146.51,5.52,1145074.75,1145.07
37,2015-03-04 05:00:00+00:00,买入TSLA,13.5,92255,1245074.77,0.0,,,,
38,2015-07-15 04:00:00+00:00,卖出TSLA,17.54,0,0.0,1618400.42,373325.65,29.98,1518400.4,1518.4
38,2015-07-15 04:00:00+00:00,买入AZO,680.78,2377,1618400.42,-,,,,
39,2015-09-11 04:00:00+00:00,卖出AZO,727.44,2224,0.0,-,110923.52,6.85,1629323.92,1629.32
39,2015-09-11 04:00:00+00:00,买入TSLA,16.68,103659,1729323.95,0.0,,,,
40,2015-10-05 04:00:00+00:00,卖出TSLA,16.41,0,0.0,1701059.32,-28264.63,-1.63,1601059.29,1601.06
40,2015-10-05 04:00:00+00:00,买入AZO,747.28,2276,1701059.32,-,,,,
41,2015-11-25 05:00:00+00:00,卖出AZO,786.09,2163,0.0,-,88344.54,5.19,1689403.83,1689.4
41,2015-11-25 05:00:00+00:00,买入TSLA,15.31,116883,1789403.85,0.0,,,,
42,2015-12-15 05:00:00+00:00,卖出TSLA,14.74,0,0.0,1722780.46,-66623.39,-3.72,1622780.44,1622.78
