trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
0,2011-01-03 05:00:00+00:00,买入AZO(初始),268.4,186,50000.0,-,,,,
0,2011-01-03 05:00:00+00:00,买入ORLY(初始),4.05,12357,50000.0,0.0,,,,
1,2011-03-04 05:00:00+00:00,卖出AZO,265.42,188,0.0,-,-555.14,-1.11,-555.14,-0.56
1,2011-03-04 05:00:00+00:00,卖出ORLY,3.76,13302,0.0,-,-3550.83,-7.1,-4105.97,-4.11
1,2011-03-04 05:00:00+00:00,买入TSLA,1.66,57651,95894.03,0.0,,,,
2,2011-03-17 04:00:00+00:00,卖出TSLA,1.52,0,0.0,87669.09,-8224.95,-8.58,-12330.92,-12.33
2,2011-03-17 04:00:00+00:00,买入AZO,261.95,167,43834.54,-,,,,
2,2011-03-17 04:00:00+00:00,买入ORLY,3.7,11855,43834.54,-,,,,
3,2011-04-01 04:00:00+00:00,卖出AZO,274.67,159,0.0,-,2128.56,4.86,-10202.36,-10.2
3,2011-04-01 04:00:00+00:00,卖出ORLY,3.86,11360,0.0,-,1912.73,4.36,-8289.63,-8.29
3,2011-04-01 04:00:00+00:00,买入TSLA,1.78,51599,91710.37,0.0,,,,
4,2011-06-17 04:00:00+00:00,卖出TSLA,1.77,0,0.0,91160.0,-550.37,-0.6,-8840.0,-8.84
4,2011-06-17 04:00:00+00:00,买入AZO,291.71,156,45580.0,-,,,,
4,2011-06-17 04:00:00+00:00,买入ORLY,4.13,11023,45580.0,-,,,,
5,2011-07-01 04:00:00+00:00,卖出AZO,297.62,153,0.0,-,923.44,2.03,-7916.56,-7.92
5,2011-07-01 04:00:00+00:00,卖出ORLY,4.41,10326,0.0,-,3079.33,6.76,-4837.23,-4.84
5,2011-07-01 04:00:00+00:00,买入TSLA,1.93,49188,95162.78,0.0,,,,
6,2011-07-18 04:00:00+00:00,卖出TSLA,1.82,0,0.0,89292.96,-5869.82,-6.17,-10707.05,-10.71
6,2011-07-18 04:00:00+00:00,买入AZO,295.36,151,44646.48,-,,,,
6,2011-07-18 04:00:00+00:00,买入ORLY,4.15,10766,44646.48,-,,,,
7,2011-07-22 04:00:00+00:00,卖出AZO,295.85,150,0.0,-,74.07,0.17,-10632.98,-10.63
7,2011-07-22 04:00:00+00:00,卖出ORLY,4.15,10768,0.0,-,-7.18,-0.02,-10640.16,-10.64
7,2011-07-22 04:00:00+00:00,买入TSLA,1.95,45762,89359.84,0.0,,,,
8,2011-08-01 04:00:00+00:00,卖出TSLA,1.92,0,0.0,87773.38,-1586.47,-1.78,-12226.63,-12.23
8,2011-08-01 04:00:00+00:00,买入AZO,282.25,155,43886.69,-,,,,
8,2011-08-01 04:00:00+00:00,买入ORLY,3.91,11216,43886.69,-,,,,
9,2011-09-19 04:00:00+00:00,卖出AZO,331.95,132,0.0,-,7727.79,17.61,-4498.84,-4.5
9,2011-09-19 04:00:00+00:00,卖出ORLY,4.78,9178,0.0,-,9743.45,22.2,5244.61,5.24
9,2011-09-19 04:00:00+00:00,买入TSLA,1.72,61259,105244.62,0.0,,,,
10,2011-10-05 04:00:00+00:00,卖出TSLA,1.69,0,0.0,103611.0,-1633.62,-1.55,3610.99,3.61
10,2011-10-05 04:00:00+00:00,买入AZO,317.42,163,51805.5,-,,,,
10,2011-10-05 04:00:00+00:00,买入ORLY,4.46,11613,51805.5,-,,,,
11,2011-10-07 04:00:00+00:00,卖出AZO,324.02,159,0.0,-,1077.17,2.08,4688.16,4.69
11,2011-10-07 04:00:00+00:00,卖出ORLY,4.51,11483,0.0,-,588.43,1.14,5276.59,5.28
11,2011-10-07 04:00:00+00:00,买入TSLA,1.8,58508,105276.59,0.0,,,,
12,2011-12-14 05:00:00+00:00,卖出TSLA,1.9,0,0.0,111283.5,6006.91,5.71,11283.5,11.28
12,2011-12-14 05:00:00+00:00,买入AZO,324.32,171,55641.75,-,,,,
12,2011-12-14 05:00:00+00:00,买入ORLY,5.24,10621,55641.75,-,,,,
